PROLIFIC_PID,STUDY_ID,SESSION_ID,CONDITION_ID,overview.started,overview.stopped,instrRep2.keys,instrRep2.rt,instrRep2.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,instructions2.started,instructions2.stopped,instrResp2.keys,instrResp2.rt,instrResp2.duration,instructions3.started,instructions3.stopped,instrResp3.keys,instrResp3.rt,instrResp3.duration,attnCheck.started,attnCheck.stopped,ac_kr.keys,ac_kr.rt,ac_kr.duration,attention.thisRepN,attention.thisTrialN,attention.thisN,attention.thisIndex,attention.ran,welcome.started,welcome.stopped,welcomeKey.keys,welcomeKey.rt,welcomeKey.duration,topicMsg.started,topicMsg.stopped,topicKey.keys,topicKey.rt,topicKey.duration,statementMsg.started,statementMsg.stopped,statementKey.keys,statementKey.rt,statementKey.duration,rebuttalsIntro.started,rebuttalsIntro.stopped,introKey.keys,introKey.rt,introKey.duration,challengeMsg.started,challengeMsg.stopped,challengeKey.keys,challengeKey.rt,challengeKey.duration,argQualityProbe.started,argQualityProbe.stopped,aq_kr.keys,aq_kr.rt,aq_kr.duration,aq_rating,aq_decision_rt,aq_submit_rt,challenges.thisRepN,challenges.thisTrialN,challenges.thisN,challenges.thisIndex,challenges.ran,challengeText,challengeType,feelProbe.started,feelProbe.stopped,f_kr.keys,feeling_rating,f_decision_rt,f_submit_rt,stanceProbe_2.started,stanceProbe_2.stopped,s_kr.keys,stance_rating,s_decision_rt,s_submit_rt,changeProbe.started,changeProbe.stopped,c_kr.keys,change_rating,c_decision_rt,c_submit_rt,attnCheck2_2.started,attnCheck2_2.stopped,c_kr_2.keys,attention_choice_selected,attention_score,check_decision_rt,check_submit_rt,learnProbe.started,learnProbe.stopped,le_kr.keys,learnmore_rating,l_decision_rt,l_submit_rt,knowledgeProbe.started,knowledgeProbe.stopped,k_kr.keys,knowledge_rating,k_decision_rt,k_submit_rt,break_2.started,break_2.stopped,party.thisRepN,party.thisTrialN,party.thisN,party.thisIndex,party.ran,party,challengesFile,statementText,challenge1,challenge2,challenge3,challenge4,challenge5,challenge6,challenge7,topics.thisRepN,topics.thisTrialN,topics.thisN,topics.thisIndex,topics.ran,topicFile,topicText,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,fun.started,fun.stopped,f_kr_2.keys,fun_rating,improvement.started,improvement.stopped,improvementObj.text,thankyou.started,thankyou.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration
,,,,0.0002,0.6408,return,0.6338,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,0.6409,1.1753,return,0.5204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,1.1753,1.593,return,0.4128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,1.5975,2.9604,left,1.1164,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,2.961,3.4777,return,0.5063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,3.4904,3.9448,return,0.4373,,3.9526,8.1315,return,1.152,,8.1317,20.4919,return,12.3439,,20.4982,23.7113,return,0.186,,23.7118,26.0123,"[""left"",""return"",""return""]","[0.9469999999999992,1.7629000000003714,2.2723000000007474]","[null,null,null]",2,0.9658,2.2993,0,0,0,5,1,"More than a third of the tax dollars paid by undocumented immigrants go toward payroll taxes dedicated to funding programs they cannot access: in 2022, they paid $25.7 billion to Social Security, $6.4 billion to Medicare, and $1.8 to unemployment insurance.",stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0139,29.7481,return,0.731,,29.7482,32.1344,"[""left"",""return"",""return""]","[0.989099999999631,1.8034999999999997,2.3742999999998133]","[null,null,null]",2,1.0017,2.3858,0,1,1,2,1,Increases in undocumented immigration have compensated for labor shortages in agriculture and service sectors.,nonstat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1352,35.5038,return,0.3534,,35.5039,38.0897,"[""left"",""return"",""return""]","[0.8857999999998185,1.8864000000003784,2.578599999999632]","[null,null,null]",2,0.8993,2.5849,0,2,2,3,1,A study found that undocumented immigrants are arrested for violent crimes at half the rate of native-born U.S. citizens. ,stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0913,41.8081,return,0.7015,,41.8082,43.8431,"[""left"",""return""]","[1.630400000000371,2.0196000000005583]","[null,null]",2,1.6351,2.0345,0,3,3,6,1,Illegal immigrants will help support American retirees in the future by offsetting America's plummeting birth rate––which reached a historic low in 2024––and bolstering the future workforce.,nonstat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,700,001,2025-12-18_10h33.32.965,assim_bias_task,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8442,46.9964,return,0.138,,46.9965,49.1811,"[""left"",""return"",""return""]","[0.8624000000003704,1.5875999999996253,2.172900000000368]","[null,null,null]",2,0.8677,2.184,0,4,4,1,1,"Because they do not claim tax refunds, undocumented immigrants often pay taxes at a higher rate than native-born households.",nonstat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
