"GLID","treatment","message_text","WordCount_t1","ra_respectful_tone_avg_t1","final_charitable_t1","final_subjective_t1","partisan_stance_t1","counter_attitudinal_issue_t1","issue_pos_strength_t1","message_id","exposure_id"
22036229348,"control","I appreciate your passion for addressing climate change and your concern about the influence of fossil fuel industries. Transitioning to alternative energy is indeed crucial, and many agree that it’s a necessary step to mitigate the effects of climate change. However, it's important to recognize that this transition will require a collaborative effort across political and economic sectors. By fostering dialogue with all stakeholders, including those in the fossil fuel industry, we can work toward a more sustainable future while also considering the economic implications for those whose livelihoods currently depend on traditional energy sources. This approach could help create a smoother and more inclusive transition that benefits everyone.",109,6,1,0,"pro_trump","Environment",3,"msg_1",1
22036229348,"control","I appreciate your passion for addressing climate change and your concern about the influence of fossil fuel industries. Transitioning to alternative energy is indeed crucial, and many agree that it’s a necessary step to mitigate the effects of climate change. However, it's important to recognize that this transition will require a collaborative effort across political and economic sectors. By fostering dialogue with all stakeholders, including those in the fossil fuel industry, we can work toward a more sustainable future while also considering the economic implications for those whose livelihoods currently depend on traditional energy sources. This approach could help create a smoother and more inclusive transition that benefits everyone.",109,6,1,0,"pro_trump","Environment",3,"msg_1",2
22540545880,"control","I can see where they are coming from however, the environment movement is not about who is polluting more but more about reducing pollution all together. Placing blame and not taking responsibility makes it hard to bring about change. The whole point is to make the world a better place.",50,4,0,0,"pro_harris","Environment",4,"msg_2",3
22540545880,"control","I can see where they are coming from however, the environment movement is not about who is polluting more but more about reducing pollution all together. Placing blame and not taking responsibility makes it hard to bring about change. The whole point is to make the world a better place.",50,4,0,0,"pro_harris","Environment",4,"msg_2",4
22055961884,"treatment","I was really moved by how you mentioned that people value their own convenience over human life, that is something that I do not disagree with you on. I think what abortion is a very polarizing issue that may be misunderstood by the masses. As someone who is pro-choice, I've had personal family experiences where abortion saved the life of people in my family due to fetus viability. I don't think that abortion should be used as birth control, but I don't think that it should be removed as a last-resort option for women's healthcare. I agree with you that people may not think about the future (expense, risk of disability, etc.) when getting pregnant. I think something that may work to reverse those issues are to focus in on our economy and making having a family more accessible to all. Once we are able to have a more stable economy and decrease inflation, family planning will me more accessible and useful in allowing people to avoid abortion. I think that abortion is a multi-faceted issue that cannot be addressed immediately by preventing accessibility to women's healthcare.",190,5.5,1,1,"pro_trump","Abortion",3,"msg_3",5
22055961884,"treatment","I was really moved by how you mentioned that people value their own convenience over human life, that is something that I do not disagree with you on. I think what abortion is a very polarizing issue that may be misunderstood by the masses. As someone who is pro-choice, I've had personal family experiences where abortion saved the life of people in my family due to fetus viability. I don't think that abortion should be used as birth control, but I don't think that it should be removed as a last-resort option for women's healthcare. I agree with you that people may not think about the future (expense, risk of disability, etc.) when getting pregnant. I think something that may work to reverse those issues are to focus in on our economy and making having a family more accessible to all. Once we are able to have a more stable economy and decrease inflation, family planning will me more accessible and useful in allowing people to avoid abortion. I think that abortion is a multi-faceted issue that cannot be addressed immediately by preventing accessibility to women's healthcare.",190,5.5,1,1,"pro_trump","Abortion",3,"msg_3",6
22952666126,"control","Abortion performed out of medical necessity can and should be allowed. If there is threat to the mother or the child will have no quality of life than abortion should be considered. I do not think that abortion should be an option for capable, healthy  adults whom did not have enough foresight to prevent pregnancy if they didn't want a child. Not all Democrats think the same way, and generalizations like ""Democrats don't seem to care one but"" only serves to further isolate the two parties from one another.",89,4,0,0,"pro_harris","Abortion",3,"msg_4",7
22952666126,"control","Abortion performed out of medical necessity can and should be allowed. If there is threat to the mother or the child will have no quality of life than abortion should be considered. I do not think that abortion should be an option for capable, healthy  adults whom did not have enough foresight to prevent pregnancy if they didn't want a child. Not all Democrats think the same way, and generalizations like ""Democrats don't seem to care one but"" only serves to further isolate the two parties from one another.",89,4,0,0,"pro_harris","Abortion",3,"msg_4",8
22104933708,"control","This encourages the youth, who haven't developed adult brains and mindsets, to engage in risky sexual behavior where accidents can happen. As a result of there immaturity, a baby will be brought to the world, where they are not ready to raise it and will not be in a financial and life scenario to provide and give this baby everything it needs. Therefore, abortion should be illegal as it ensures everyone is aware of the risks and responsibilities tied to sex.",81,4.5,0,0,"pro_trump","Abortion",3,"msg_5",9
22104933708,"control","This encourages the youth, who haven't developed adult brains and mindsets, to engage in risky sexual behavior where accidents can happen. As a result of there immaturity, a baby will be brought to the world, where they are not ready to raise it and will not be in a financial and life scenario to provide and give this baby everything it needs. Therefore, abortion should be illegal as it ensures everyone is aware of the risks and responsibilities tied to sex.",81,4.5,0,0,"pro_trump","Abortion",3,"msg_5",10
